ID,Node,Source,Target,Weight,Relationship,Assistance,Total,SIC,jobs,Sector,address,X,Y,CycleY
2233,Northern Ireland,Northern Ireland,Antrim and Newtownabbey,"47,720",Northern Ireland-->Antrim and Newtownabbey,"47,720","131,940",29202,0,Manufacturing,BT41 3RB,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2233,Antrim and Newtownabbey,Northern Ireland,Antrim and Newtownabbey,"47,720",Northern Ireland-->Antrim and Newtownabbey,"47,720","131,940",29202,0,Manufacturing,BT41 3RB,0.7660444378852844,0.6427875757217407,0.6427875757217407
2234,Northern Ireland,Northern Ireland,Mid Ulster,"96,000",Northern Ireland-->Mid Ulster,"96,000","680,000",71129,12,"Professional, Scientific And Technical Activities",BT45 8JQ,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2234,Mid Ulster,Northern Ireland,Mid Ulster,"96,000",Northern Ireland-->Mid Ulster,"96,000","680,000",71129,12,"Professional, Scientific And Technical Activities",BT45 8JQ,0.9730448722839355,0.23061588406562805,0.23061588406562805
2235,Northern Ireland,Northern Ireland,Mid and East Antrim,"220,000",Northern Ireland-->Mid and East Antrim,"220,000","2,438,129",25120,17,Manufacturing,BT42 3AZ,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2235,Mid and East Antrim,Northern Ireland,Mid and East Antrim,"220,000",Northern Ireland-->Mid and East Antrim,"220,000","2,438,129",25120,17,Manufacturing,BT42 3AZ,1.0,1.2693582185363539e-08,1.2693582185363539e-08
2236,Northern Ireland,Northern Ireland,"Newry, Mourne and Down","7,310","Northern Ireland-->Newry, Mourne and Down","7,310","18,275",43999,0,Construction,BT31 9PF,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2236,"Newry, Mourne and Down",Northern Ireland,"Newry, Mourne and Down","7,310","Northern Ireland-->Newry, Mourne and Down","7,310","18,275",43999,0,Construction,BT31 9PF,-0.6862416863441467,0.7273736000061035,0.7273736000061035
2237,Northern Ireland,Northern Ireland,Belfast,"2,250",Northern Ireland-->Belfast,"2,250","4,500",10710,0,Manufacturing,BT4 2NL,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2237,Belfast,Northern Ireland,Belfast,"2,250",Northern Ireland-->Belfast,"2,250","4,500",10710,0,Manufacturing,BT4 2NL,0.8936326503753662,0.448799192905426,0.448799192905426
2238,Irish Republic,Irish Republic,Belfast,"40,420",Irish Republic-->Belfast,"40,420","86,000",46342,1,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT12 6TA,-0.05814465880393982,-0.9983081817626953,-0.9983081817626953
2238,Belfast,Irish Republic,Belfast,"40,420",Irish Republic-->Belfast,"40,420","86,000",46342,1,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT12 6TA,0.8936326503753662,0.448799192905426,0.448799192905426
2239,Northern Ireland,Northern Ireland,Ards and North Down,"28,000",Northern Ireland-->Ards and North Down,"28,000","134,000",14190,4,Manufacturing,BT19 7QZ,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2239,Ards and North Down,Northern Ireland,Ards and North Down,"28,000",Northern Ireland-->Ards and North Down,"28,000","134,000",14190,4,Manufacturing,BT19 7QZ,-0.5000000596046448,0.8660253882408142,0.8660253882408142
2240,Northern Ireland,Northern Ireland,Antrim and Newtownabbey,"25,000",Northern Ireland-->Antrim and Newtownabbey,"25,000","79,800",30920,0,Manufacturing,BT39 0QA,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2240,Antrim and Newtownabbey,Northern Ireland,Antrim and Newtownabbey,"25,000",Northern Ireland-->Antrim and Newtownabbey,"25,000","79,800",30920,0,Manufacturing,BT39 0QA,0.7660444378852844,0.6427875757217407,0.6427875757217407
2241,Northern Ireland,Northern Ireland,Mid Ulster,"20,000",Northern Ireland-->Mid Ulster,"20,000","121,600",26301,4,Manufacturing,BT80 9HG,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2241,Mid Ulster,Northern Ireland,Mid Ulster,"20,000",Northern Ireland-->Mid Ulster,"20,000","121,600",26301,4,Manufacturing,BT80 9HG,0.9730448722839355,0.23061588406562805,0.23061588406562805
2242,Northern Ireland,Northern Ireland,Causeway Coast and Glens,"25,000",Northern Ireland-->Causeway Coast and Glens,"25,000","51,920",47789,0,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT52 2ED,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2242,Causeway Coast and Glens,Northern Ireland,Causeway Coast and Glens,"25,000",Northern Ireland-->Causeway Coast and Glens,"25,000","51,920",47789,0,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT52 2ED,-0.2868032455444336,0.957989513874054,0.957989513874054
2243,Northern Ireland,Northern Ireland,Mid Ulster,"3,870",Northern Ireland-->Mid Ulster,"3,870","7,740",28302,0,Manufacturing,BT71 4DU,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2243,Mid Ulster,Northern Ireland,Mid Ulster,"3,870",Northern Ireland-->Mid Ulster,"3,870","7,740",28302,0,Manufacturing,BT71 4DU,0.9730448722839355,0.23061588406562805,0.23061588406562805
2244,Northern Ireland,Northern Ireland,Lisburn and Castlereagh,"1,600",Northern Ireland-->Lisburn and Castlereagh,"1,600","3,200",46620,0,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT28 2BP,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2244,Lisburn and Castlereagh,Northern Ireland,Lisburn and Castlereagh,"1,600",Northern Ireland-->Lisburn and Castlereagh,"1,600","3,200",46620,0,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT28 2BP,0.5971586108207703,0.8021231889724731,0.8021231889724731
2245,Northern Ireland,Northern Ireland,Mid and East Antrim,"49,600",Northern Ireland-->Mid and East Antrim,"49,600","230,000",21100,7,Manufacturing,BT42 3HB,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2245,Mid and East Antrim,Northern Ireland,Mid and East Antrim,"49,600",Northern Ireland-->Mid and East Antrim,"49,600","230,000",21100,7,Manufacturing,BT42 3HB,1.0,1.2693582185363539e-08,1.2693582185363539e-08
2246,Northern Ireland,Northern Ireland,Belfast,"3,760",Northern Ireland-->Belfast,"3,760","9,400",11050,0,Manufacturing,BT3 9HB,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2246,Belfast,Northern Ireland,Belfast,"3,760",Northern Ireland-->Belfast,"3,760","9,400",11050,0,Manufacturing,BT3 9HB,0.8936326503753662,0.448799192905426,0.448799192905426
2247,Northern Ireland,Northern Ireland,Mid and East Antrim,"4,982",Northern Ireland-->Mid and East Antrim,"4,982","9,964",43290,0,Construction,BT44 8AA,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2247,Mid and East Antrim,Northern Ireland,Mid and East Antrim,"4,982",Northern Ireland-->Mid and East Antrim,"4,982","9,964",43290,0,Construction,BT44 8AA,1.0,1.2693582185363539e-08,1.2693582185363539e-08
2248,Northern Ireland,Northern Ireland,Belfast,"4,422",Northern Ireland-->Belfast,"4,422","8,844",89300,0,Mining And Quarrying,BT3 9AL,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2248,Belfast,Northern Ireland,Belfast,"4,422",Northern Ireland-->Belfast,"4,422","8,844",89300,0,Mining And Quarrying,BT3 9AL,0.8936326503753662,0.448799192905426,0.448799192905426
2249,Northern Ireland,Northern Ireland,"Newry, Mourne and Down","1,938","Northern Ireland-->Newry, Mourne and Down","1,938","3,875",32200,0,Manufacturing,BT34 4JN,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2249,"Newry, Mourne and Down",Northern Ireland,"Newry, Mourne and Down","1,938","Northern Ireland-->Newry, Mourne and Down","1,938","3,875",32200,0,Manufacturing,BT34 4JN,-0.6862416863441467,0.7273736000061035,0.7273736000061035
2250,Northern Ireland,Northern Ireland,Antrim and Newtownabbey,"5,556",Northern Ireland-->Antrim and Newtownabbey,"5,556","16,618",32990,0,Manufacturing,BT39 9UF,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2250,Antrim and Newtownabbey,Northern Ireland,Antrim and Newtownabbey,"5,556",Northern Ireland-->Antrim and Newtownabbey,"5,556","16,618",32990,0,Manufacturing,BT39 9UF,0.7660444378852844,0.6427875757217407,0.6427875757217407
2251,Northern Ireland,Northern Ireland,Belfast,"33,176",Northern Ireland-->Belfast,"33,176","82,940",58190,2,Information And Communication,BT7 1DQ,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2251,Belfast,Northern Ireland,Belfast,"33,176",Northern Ireland-->Belfast,"33,176","82,940",58190,2,Information And Communication,BT7 1DQ,0.8936326503753662,0.448799192905426,0.448799192905426
2252,Northern Ireland,Northern Ireland,Causeway Coast and Glens,"6,985",Northern Ireland-->Causeway Coast and Glens,"6,985","14,649",10390,0,Manufacturing,BT53 7QN,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2252,Causeway Coast and Glens,Northern Ireland,Causeway Coast and Glens,"6,985",Northern Ireland-->Causeway Coast and Glens,"6,985","14,649",10390,0,Manufacturing,BT53 7QN,-0.2868032455444336,0.957989513874054,0.957989513874054
2253,Northern Ireland,Northern Ireland,Antrim and Newtownabbey,919,Northern Ireland-->Antrim and Newtownabbey,919,"1,838",14190,0,Manufacturing,BT39 0TG,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2253,Antrim and Newtownabbey,Northern Ireland,Antrim and Newtownabbey,919,Northern Ireland-->Antrim and Newtownabbey,919,"1,838",14190,0,Manufacturing,BT39 0TG,0.7660444378852844,0.6427875757217407,0.6427875757217407
2254,Northern Ireland,Northern Ireland,Mid Ulster,"15,158",Northern Ireland-->Mid Ulster,"15,158","35,410",27900,0,Manufacturing,BT45 7AG,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2254,Mid Ulster,Northern Ireland,Mid Ulster,"15,158",Northern Ireland-->Mid Ulster,"15,158","35,410",27900,0,Manufacturing,BT45 7AG,0.9730448722839355,0.23061588406562805,0.23061588406562805
2255,Northern Ireland,Northern Ireland,Derry City and Strabane,"22,820",Northern Ireland-->Derry City and Strabane,"22,820","61,800",43220,0,Construction,BT78 4ED,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2255,Derry City and Strabane,Northern Ireland,Derry City and Strabane,"22,820",Northern Ireland-->Derry City and Strabane,"22,820","61,800",43220,0,Construction,BT78 4ED,0.17364820837974548,0.9848077297210693,0.9848077297210693
2256,Great Britain,Great Britain,Belfast,"6,860",Great Britain-->Belfast,"6,860","14,000",62012,0,Information And Communication,BT9 6AZ,-0.28680330514907837,-0.957989513874054,-0.957989513874054
2256,Belfast,Great Britain,Belfast,"6,860",Great Britain-->Belfast,"6,860","14,000",62012,0,Information And Communication,BT9 6AZ,0.8936326503753662,0.448799192905426,0.448799192905426
2257,Northern Ireland,Northern Ireland,Mid Ulster,"2,400",Northern Ireland-->Mid Ulster,"2,400","4,800",62010,0,Information And Communication,BT80 8NP,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2257,Mid Ulster,Northern Ireland,Mid Ulster,"2,400",Northern Ireland-->Mid Ulster,"2,400","4,800",62010,0,Information And Communication,BT80 8NP,0.9730448722839355,0.23061588406562805,0.23061588406562805
2258,Northern Ireland,Northern Ireland,"Newry, Mourne and Down","1,700","Northern Ireland-->Newry, Mourne and Down","1,700","3,400",72900,0,Mining And Quarrying,BT31 9JR,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2258,"Newry, Mourne and Down",Northern Ireland,"Newry, Mourne and Down","1,700","Northern Ireland-->Newry, Mourne and Down","1,700","3,400",72900,0,Mining And Quarrying,BT31 9JR,-0.6862416863441467,0.7273736000061035,0.7273736000061035
2259,Northern Ireland,Northern Ireland,Lisburn and Castlereagh,"5,000",Northern Ireland-->Lisburn and Castlereagh,"5,000","11,900",81229,0,Administrative And Support Service Activities,BT28 2BP,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2259,Lisburn and Castlereagh,Northern Ireland,Lisburn and Castlereagh,"5,000",Northern Ireland-->Lisburn and Castlereagh,"5,000","11,900",81229,0,Administrative And Support Service Activities,BT28 2BP,0.5971586108207703,0.8021231889724731,0.8021231889724731
2260,Great Britain,Great Britain,"Armagh City, Banbridge and Craigavon","46,912","Great Britain-->Armagh City, Banbridge and Craigavon","46,912","121,860",22210,2,Manufacturing,BT66 8TP,-0.28680330514907837,-0.957989513874054,-0.957989513874054
2260,"Armagh City, Banbridge and Craigavon",Great Britain,"Armagh City, Banbridge and Craigavon","46,912","Great Britain-->Armagh City, Banbridge and Craigavon","46,912","121,860",22210,2,Manufacturing,BT66 8TP,0.3960797190666199,0.9182161092758179,0.9182161092758179
2261,Northern Ireland,Northern Ireland,Mid Ulster,"22,685",Northern Ireland-->Mid Ulster,"22,685","60,174",28220,0,Manufacturing,BT70 1LA,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2261,Mid Ulster,Northern Ireland,Mid Ulster,"22,685",Northern Ireland-->Mid Ulster,"22,685","60,174",28220,0,Manufacturing,BT70 1LA,0.9730448722839355,0.23061588406562805,0.23061588406562805
2262,Northern Ireland,Northern Ireland,Mid Ulster,"2,156",Northern Ireland-->Mid Ulster,"2,156","5,390",10890,0,Manufacturing,BT46 5DR,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2262,Mid Ulster,Northern Ireland,Mid Ulster,"2,156",Northern Ireland-->Mid Ulster,"2,156","5,390",10890,0,Manufacturing,BT46 5DR,0.9730448722839355,0.23061588406562805,0.23061588406562805
2263,Northern Ireland,Northern Ireland,Antrim and Newtownabbey,"13,860",Northern Ireland-->Antrim and Newtownabbey,"13,860","19,800",10890,0,Manufacturing,BT41 4LD,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2263,Antrim and Newtownabbey,Northern Ireland,Antrim and Newtownabbey,"13,860",Northern Ireland-->Antrim and Newtownabbey,"13,860","19,800",10890,0,Manufacturing,BT41 4LD,0.7660444378852844,0.6427875757217407,0.6427875757217407
2264,Northern Ireland,Northern Ireland,Mid and East Antrim,"25,000",Northern Ireland-->Mid and East Antrim,"25,000","67,500",10130,0,Manufacturing,BT42 4QJ,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2264,Mid and East Antrim,Northern Ireland,Mid and East Antrim,"25,000",Northern Ireland-->Mid and East Antrim,"25,000","67,500",10130,0,Manufacturing,BT42 4QJ,1.0,1.2693582185363539e-08,1.2693582185363539e-08
2265,Northern Ireland,Northern Ireland,Derry City and Strabane,"7,546",Northern Ireland-->Derry City and Strabane,"7,546","15,400",62012,0,Information And Communication,BT48 0LY,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2265,Derry City and Strabane,Northern Ireland,Derry City and Strabane,"7,546",Northern Ireland-->Derry City and Strabane,"7,546","15,400",62012,0,Information And Communication,BT48 0LY,0.17364820837974548,0.9848077297210693,0.9848077297210693
2266,Northern Ireland,Northern Ireland,Lisburn and Castlereagh,"4,250",Northern Ireland-->Lisburn and Castlereagh,"4,250","8,500",62012,0,Information And Communication,BT28 2GN,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2266,Lisburn and Castlereagh,Northern Ireland,Lisburn and Castlereagh,"4,250",Northern Ireland-->Lisburn and Castlereagh,"4,250","8,500",62012,0,Information And Communication,BT28 2GN,0.5971586108207703,0.8021231889724731,0.8021231889724731
2267,Northern Ireland,Northern Ireland,Lisburn and Castlereagh,"5,000",Northern Ireland-->Lisburn and Castlereagh,"5,000","11,500",62012,0,Information And Communication,BT28 2GN,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2267,Lisburn and Castlereagh,Northern Ireland,Lisburn and Castlereagh,"5,000",Northern Ireland-->Lisburn and Castlereagh,"5,000","11,500",62012,0,Information And Communication,BT28 2GN,0.5971586108207703,0.8021231889724731,0.8021231889724731
2268,Northern Ireland,Northern Ireland,Lisburn and Castlereagh,"49,438",Northern Ireland-->Lisburn and Castlereagh,"49,438","82,396",28250,0,Manufacturing,BT17 9HU,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2268,Lisburn and Castlereagh,Northern Ireland,Lisburn and Castlereagh,"49,438",Northern Ireland-->Lisburn and Castlereagh,"49,438","82,396",28250,0,Manufacturing,BT17 9HU,0.5971586108207703,0.8021231889724731,0.8021231889724731
2269,Northern Ireland,Northern Ireland,Lisburn and Castlereagh,"11,280",Northern Ireland-->Lisburn and Castlereagh,"11,280","28,200",26511,0,Manufacturing,BT28 2SA,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2269,Lisburn and Castlereagh,Northern Ireland,Lisburn and Castlereagh,"11,280",Northern Ireland-->Lisburn and Castlereagh,"11,280","28,200",26511,0,Manufacturing,BT28 2SA,0.5971586108207703,0.8021231889724731,0.8021231889724731
2270,Northern Ireland,Northern Ireland,Mid Ulster,"19,800",Northern Ireland-->Mid Ulster,"19,800","114,051",71111,2,"Professional, Scientific And Technical Activities",BT51 5ST,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2270,Mid Ulster,Northern Ireland,Mid Ulster,"19,800",Northern Ireland-->Mid Ulster,"19,800","114,051",71111,2,"Professional, Scientific And Technical Activities",BT51 5ST,0.9730448722839355,0.23061588406562805,0.23061588406562805
2271,Northern Ireland,Northern Ireland,Mid Ulster,"2,813",Northern Ireland-->Mid Ulster,"2,813","5,625",84110,0,Public Administration And Defence; Compulsory Social Security,BT80 8PZ,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2271,Mid Ulster,Northern Ireland,Mid Ulster,"2,813",Northern Ireland-->Mid Ulster,"2,813","5,625",84110,0,Public Administration And Defence; Compulsory Social Security,BT80 8PZ,0.9730448722839355,0.23061588406562805,0.23061588406562805
2272,Northern Ireland,Northern Ireland,Mid Ulster,"45,065",Northern Ireland-->Mid Ulster,"45,065","112,663",28220,0,Manufacturing,BT70 1LA,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2272,Mid Ulster,Northern Ireland,Mid Ulster,"45,065",Northern Ireland-->Mid Ulster,"45,065","112,663",28220,0,Manufacturing,BT70 1LA,0.9730448722839355,0.23061588406562805,0.23061588406562805
2273,Northern Ireland,Northern Ireland,"Newry, Mourne and Down","2,000","Northern Ireland-->Newry, Mourne and Down","2,000","4,000",62010,0,Information And Communication,,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2273,"Newry, Mourne and Down",Northern Ireland,"Newry, Mourne and Down","2,000","Northern Ireland-->Newry, Mourne and Down","2,000","4,000",62010,0,Information And Communication,,-0.6862416863441467,0.7273736000061035,0.7273736000061035
2274,Northern Ireland,Northern Ireland,"Armagh City, Banbridge and Craigavon","7,717","Northern Ireland-->Armagh City, Banbridge and Craigavon","7,717","15,435",10890,0,Manufacturing,BT66 8BY,-0.9932383298873901,0.1160929799079895,0.1160929799079895
