Source,Target,Weight,total,NoJobs,SIC,SICsector,Postcode
Northern Ireland,Antrim and Newtownabbey,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid and East Antrim,"136,500","742,500",15,13300,Manufacturing,BT42 3JL
Northern Ireland,Belfast,"24,748","70,535",0,28220,Manufacturing,BT3 9LE
Northern Ireland,Lisburn and Castlereagh,"29,790","74,476",2,31010,Manufacturing,BT23 6AY
Northern Ireland,"Newry, Mourne and Down","18,330","61,100",1,62090,Information And Communication,BT30 9UP
Northern Ireland,Fermanagh and Omagh,"35,140","112,850",2,86230,Human Health And Social Work Activities,BT94 1GR
Northern Ireland,Fermanagh and Omagh,"18,960","48,420",1,27900,Manufacturing,BT74 4RL
Northern Ireland,Mid Ulster,"1,500","10,000",1,82990,Administrative And Support Service Activities,
Northern Ireland,Ards and North Down,"1,500","10,000",1,93120,"Arts, Entertainment And Recreation",
Northern Ireland,Belfast,"196,261","700,933",0,62020,Information And Communication,BT12 5GH
Northern Ireland,"Armagh City, Banbridge and Craigavon","205,992","514,979",0,16240,Manufacturing,BT62 4HL
Northern Ireland,Fermanagh and Omagh,"49,000","252,000",7,43110,Construction,BT79 9AL
Northern Ireland,Antrim and Newtownabbey,"14,000","66,000",2,46160,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT36 4QU
Northern Ireland,"Newry, Mourne and Down","26,000","146,000",4,71121,"Professional, Scientific And Technical Activities",BT35 8PR
Northern Ireland,Belfast,"36,301","90,753",0,18121,Manufacturing,BT13 3LZ
Northern Ireland,Causeway Coast and Glens,"78,000","730,490",26,55100,Accommodation And Food Service Activities,BT54 6BN
Northern Ireland,Derry City and Strabane,"7,500","15,306",0,23610,Manufacturing,BT81 7JW
Northern Ireland,Belfast,"1,470","3,000",0,18129,Manufacturing,BT12 6HR
Northern Ireland,Fermanagh and Omagh,"1,721","8,987",0,70229,"Professional, Scientific And Technical Activities",BT78 5LU
Northern Ireland,Lisburn and Castlereagh,"25,000","123,832",0,64999,Financial And Insurance Activities,BT27 4AB
Northern Ireland,Lisburn and Castlereagh,"35,584","88,960",1,74100,"Professional, Scientific And Technical Activities",BT28 2RB
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Antrim and Newtownabbey,"3,189","6,379",0,45320,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT29 4SY
Northern Ireland,Mid Ulster,"14,520","36,300",1,70229,"Professional, Scientific And Technical Activities",BT69 6AA
