Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Skyline Direct Limited,2017-18,"3,600","9,570",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,64999,Financial And Insurance Activities,6-16 Duncrue Crescent, , ,Belfast,County Antrim,BT3 9BW
Hampton Conservatories Limited,2017-18,"17,106","42,765",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,16230,Manufacturing,218 Ballybogy Road, , ,Portrush,County Antrim,BT56 8NE
Up Productions Ltd,2017-18,660,"1,320",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,90010,"Arts, Entertainment And Recreation",15-21 Gordon Street, , ,Belfast,County Antrim,BT1 2LG
Cloughbane Farm Foods,2017-18,"25,000","68,200",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,10130,Manufacturing,160 Tanderagee Road,Rock, ,Dungannon,County Tyrone,BT70 3HS
KR Annett Handling Solutions,2017-18,875,"1,750",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",25620,Manufacturing,50 Ballyveaghmore Road,Ballymartin, ,Newry,County Down,BT34 4UL
Name cannot be released,2017-18,"4,065","8,130",Developing Skills,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",10390,Manufacturing,,,,,,
Haffey Sportsgrounds Ltd,2017-18,"41,000","383,000",Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",42990,Construction,47A Derrycarne Road,Portadown, ,Craigavon,County Armagh,BT62 1PT
Curran Gas Training Centre Limited,2017-18,"10,550","117,000",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,New,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,85320,Education,134-136 Main Street, , ,Lisnaskea,County Fermanagh,BT92 0JE
Ampliphae Ltd,2017-18,"13,364","27,273",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,61900,Information And Communication,Innovation Centre,Northern Ireland Science Park,Queen's Road,Belfast,County Down,BT3 9DT
Coastal Core Trading,2017-18,"48,000","401,500",Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,Local,New,EAST LONDONDERRY,Causeway Coast and Glens,86900,Human Health And Social Work Activities,Unit E Whitehill Business Park,32 Ballyquin Road, ,Limavady,County Londonderry,BT49 9EY
Homeliving,2017-18,"3,932","11,068",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Antrim and Newtownabbey,71111,"Professional, Scientific And Technical Activities",6 Longlands Avenue, , ,Newtownabbey,County Antrim,BT36 7NE
Harris Stocktaking Systems Ltd,2017-18,"11,850","51,500",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,New,LAGAN VALLEY,Lisburn and Castlereagh,82990,Administrative And Support Service Activities,Unit 104-105,Lisburn Enterprise Centre,6 Enterprise Crescent,Lisburn,County Antrim,BT28 2BP
Quest Medical Locums Ltd,2017-18,"33,500","162,000",Creating Jobs / Capital Investment / Business Development,5,Great Britain,External,New,SOUTH DOWN,"Newry, Mourne and Down",63120,Information And Communication,117 Ballagh Road, , ,Newcastle,County Down,BT33 0LA
Jackson Reece Ltd,2017-18,"2,240","5,950",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",17220,Manufacturing,129A Clare Road, , ,Waringstown,County Down,BT66 7SD
J.M.G. Systems Ltd,2017-18,"48,000","326,000",Creating Jobs / Capital Investment / Business Development,10,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,26512,Manufacturing,68 Derry Road, , ,Omagh,County Tyrone,BT78 5ED
Mackle Snacks,2017-18,"249,300","2,273,000",Creating Jobs / Capital Investment / Business Development,22,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10612,Manufacturing,18 Armagh Road, ,Moy,Dungannon,County Armagh,BT71 7HZ
Parr Facilities Management Limited,2017-18,"48,000","330,000",Creating Jobs / Capital Investment / Business Development,10,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,82990,Administrative And Support Service Activities,Unit 1,Tamar Business Centre,Chater Street,Belfast,County Down,BT4 1BL
MCNMEDIA.TV,2017-18,"19,000","152,000",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,New,FERMANAGH AND SOUTH TYRONE,Mid Ulster,80200,Administrative And Support Service Activities,1 Dinree House,Thomas Street, ,Dungannon,County Tyrone,BT70 1HN
GM Marketing (Ireland) Limited,2017-18,"5,000","15,200",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,82990,Administrative And Support Service Activities,9 Hillview Road, , ,Belfast,County Antrim,BT14 7BT
Pharmacy Supplies Limited,2017-18,"70,000","640,000",Creating Jobs / Capital Investment / Business Development,10,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,46450,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,The Business Centre Old Railway Yard,Unit 5-7 Tobermore Road, ,Draperstown,County Londonderry,BT45 7AG
Lusty Beg,2017-18,"2,800","7,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,55201,Accommodation And Food Service Activities,Lusty Beg Island,Boa Island, ,Kesh,County Fermanagh,BT93 8AD
Enniskillen Hotel,2017-18,"2,800","7,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,55100,Accommodation And Food Service Activities,72  Forthill Street, , ,Enniskillen,County Fermanagh,BT74 6JA
Dea Gate Automation Limited,2017-18,"25,980","120,200",Creating Jobs / Capital Investment / Business Development,2,Italy,External,Existing,MID ULSTER,Mid Ulster,27900,Manufacturing,Sandholes Road, , ,Cookstown,County Tyrone,BT80 9AR
Team Solutionz Ltd,2017-18,"12,000","40,000",Other,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,63990,Information And Communication,14A Kilbegs Road,antrim, ,Antrim,County Antrim,BT41 4NN
Fusion Antibodies Limited,2017-18,"9,216","18,432",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,72190,"Professional, Scientific And Technical Activities",Unit 4 Springbank Industrial Estate,Pembrook Loop Road,Dunmurry,Belfast,County Antrim,BT17 0QL
The Present Tree Ltd,2017-18,"9,984","62,080",Other,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,47910,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,1 Ballyarnot Road, , ,Crumlin,County Antrim,BT29 4DT
Doran Consulting Limited,2017-18,"1,500","3,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,71129,"Professional, Scientific And Technical Activities",Norwood House,96-102 Great Victoria Street, ,Belfast,County Antrim,BT2 7BE
McGreevy Engineering Ltd,2017-18,"22,050","91,250",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,STRANGFORD,Lisburn and Castlereagh,25620,Manufacturing,Maryland Industrial Estate,Ballygowan Road, ,Newtownards,County Down,BT23 6BL
Meteor Electrical Limited,2017-18,"14,700","30,000",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,63990,Information And Communication,7 Corchoney Road, , ,Cookstown,County Tyrone,BT80 9HU
Lenalea Electronics Limited,2017-18,"1,934","3,868",Developing Skills,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",26110,Manufacturing,Unit 14 Markethill Business Centre,6 Fairgreen Road, ,Markethill,County Armagh,BT60 1PW
iPrint,2017-18,"43,900","389,000",Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,74100,"Professional, Scientific And Technical Activities",Unit 16J Pennyburn Industrial Estate, , ,Derry,County Londonderry,BT48 8DJ
Slurrykat,2017-18,"3,125","6,250",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",28302,Manufacturing,44 Lowtown Road, , ,Waringstown,County Down,BT66 7SJ
Elan Environmental Limited,2017-18,"23,550","208,500",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,New,BELFAST EAST,Belfast,71122,"Professional, Scientific And Technical Activities",67 Castlereagh Street, , ,Belfast,County Down,BT5 4NF
Vanrath,2017-18,"49,500","497,000",Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,78100,Administrative And Support Service Activities,6th Floor Lesley Suites,2-12 Montgomery Street, ,Belfast,County Antrim,BT1 4NX
Kane Engineering Limited,2017-18,"9,935","19,870",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,27120,Manufacturing,Glenford Road, , ,Newtownards,County Down,BT23 4AU
Kane Engineering Limited,2017-18,"5,065","15,120",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,27120,Manufacturing,Glenford Road, , ,Newtownards,County Down,BT23 4AU
Xpand Group Ltd,2017-18,"48,108","107,001",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62020,Information And Communication,"Unit 1, Weavers Court",Linfield Industrial Estate,Linfield Road,Belfast,County Antrim,BT12 5GH
Acksen Ltd,2017-18,"10,620","23,600",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Antrim and Newtownabbey,62010,Information And Communication,28 Station Road,Whiteabbey, ,Newtownabbey,County Antrim,BT37 0AW
WSI Digital Web,2017-18,"25,000","178,000",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,New,BELFAST EAST,Lisburn and Castlereagh,62020,Information And Communication,6 Colvin House,Inspire Business Centre,Carrowreagh Road,Dundonald,County Down,BT16 1QT
Grays Clip Limited,2017-18,"8,700","17,400",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,22290,Manufacturing,18 Beech Hill Gardens, , ,Lisburn,County Antrim,BT28 3HH
Doran Precision Engineering,2017-18,"49,000","291,808",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",25730,Manufacturing,Dundrum Business Park,Dundrum Road, ,Newcastle,County Down,BT33 0BG
Fieldmotion Ltd,2017-18,"6,800","17,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",62010,Information And Communication,75 Belfast Road,Unit 4, ,Newry,County Down,BT34 1QH
Roundwood Engineering Works Limited,2017-18,"5,711","14,278",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",71121,"Professional, Scientific And Technical Activities",15 Corrigs Road, , ,Newcastle,County Down,BT33 0JZ
Exploristics Ltd,2017-18,"41,253","158,630",Other,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,63110,Information And Communication,24 Linenhall St, , ,Belfast,County Antrim,BT2 8BG
EasyConveyance Ltd,2017-18,"3,200","10,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,69100,"Professional, Scientific And Technical Activities",Omagh Enterprise Centre,Great Northern Road, ,Omagh,County Tyrone,BT78 5LU
Rigid Mixers Ltd,2017-18,"9,995","19,990",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",28920,Manufacturing,3A,Diamond Lane, ,Craigavon,County Antrim,BT67 0EE
Komodo Learning Ltd,2017-18,"1,470","3,000",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,85590,Education,4th Floor 109-113 Royal Avenue, , ,Belfast,County Antrim,BT1 1FF
JLM Composites Ltd,2017-18,"4,823","9,645",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,22220,Manufacturing,47a Gortnagola Road, , ,Donaghmore,County Tyrone,BT70 3BD
Meddev Solutions Limited,2017-18,"27,400","279,600",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,New,NEWRY AND ARMAGH,"Newry, Mourne and Down",70229,"Professional, Scientific And Technical Activities","Unit 15B, Flurry Bridge Business Park",Lower Foughill Road,Jonesborough,Newry,County Armagh,BT35 8SQ
Ecohog Limited,2017-18,"4,980","9,960",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,28920,Manufacturing,Quarry Road, , ,Carrickmore,County Tyrone,BT79 9JX
McCloy Consulting Limited,2017-18,"47,000","386,500",Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,82990,Administrative And Support Service Activities,Mossley Mill,Lower Ground (West),Carnmoney Road North,Newtownabbey,County Antrim,BT36 5QA
Gas & Controls Ltd,2017-18,"6,380","15,950",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,82990,Administrative And Support Service Activities,156 Woodburn Road, , ,Carrickfergus,County Antrim,BT38 9AB
Pure Roast Coffee Limited,2017-18,"95,400","592,000",Creating Jobs / Capital Investment / Business Development,9,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,10832,Manufacturing,Unit 8 Lissue Industrial Estate,Rathdown Road, ,Lisburn,County Antrim,BT28 2RE
Securibar Innovation Limited,2017-18,750,"1,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,31090,Manufacturing,Linden House,236 Upper Newtownards Road, ,Belfast,County Down,BT4 3EU
Smart-Ventilation Ltd,2017-18,"1,500","3,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,28250,Manufacturing,16 Park Drive, , ,Holywood,County Down,BT18 9LW
Haffey Sportsgrounds Ltd,2017-18,"3,364","6,728",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",42990,Construction,47A Derrycarne Road,Portadown, ,Craigavon,County Armagh,BT62 1PT
Enterprise Stationery Ltd,2017-18,"23,952","99,800",Investing in R&D                    ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",17290,Manufacturing,Silverwood Industrial Area, , ,Lurgan,County Armagh,BT66 6LN
Advance Regulatory Consulting Limited,2017-18,"5,498","10,995",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,74909,"Professional, Scientific And Technical Activities",63 Ballygrooby Road,Moneymore, ,Magherafelt,County Londonderry,BT45 7XD
Frithgate Limited,2017-18,"3,500","8,750",Developing Innovation & Technology  ,0,Great Britain,External,Existing,BELFAST SOUTH,Belfast,29320,Manufacturing,Unit 4,Hawthorn Business Centre,Wildflower Way,Belfast,County Antrim,BT12 6TA
Bella Mia Boutique,2017-18,"3,398","6,795",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Causeway Coast and Glens,47910,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,10 Church Street, , ,Ballymoney,County Antrim,BT53 6DL
Bustaseed Limited,2017-18,"3,009","10,030",Other,0,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,20160,Manufacturing,2 Prince Edward Drive, , ,Belfast,County Antrim,BT9 5GB
Top Frame Engineering,2017-18,"16,208","40,110",Investing in R&D                    ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28302,Manufacturing,72 Glenshane Road, , ,Castledawson,County Londonderry,BT45 8DQ
Enterprise Stationery Ltd,2017-18,"12,000","40,000",Other,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",17290,Manufacturing,Silverwood Industrial Area, , ,Lurgan,County Armagh,BT66 6LN
The Popcorn Factory NI,2017-18,"3,528","7,200",Developing Skills,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,10822,Manufacturing,Unit 4,Loughanhill Industrial Estate,Gateside Road,Coleraine,County Londonderry,BT52 2NR
Finn Lough,2017-18,"25,820","112,260",Investing in R&D                    ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,55209,Accommodation And Food Service Activities,33 Letter Road, , ,Aghnablaney,County Fermanagh,BT93 2BB
