Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Cunningham Covers Limited,2017-18,"161,490","367,631",Investing in R&D                    ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,13922,Manufacturing,Glenshane Industrial Park,Tobermore Road, ,Maghera,County Londonderry,BT46 5DR
Outsource Solutions (NI) Ltd,2017-18,"6,370","14,300",Developing Skills,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,62012,Information And Communication,3 Plasketts Close,Kilbegs Business Park, ,Antrim,County Antrim,BT41 4LY
AuditComply,2017-18,"12,000","24,000",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62012,Information And Communication,"Suite 5,","Alexander House,","17A,Ormeau Ave,","Belfast,",County Antrim,BT2 8HD
Northside Graphics Limited,2017-18,"24,999","62,498",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,18129,Manufacturing,Units 5&6 Round Tower Development,Dargan Crescent, ,Belfast,County Antrim,BT3 9JP
Loud Mouth Media,2017-18,"44,000","158,000",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,73110,"Professional, Scientific And Technical Activities",14-16 James Street South,5th Floor Thomas House, ,Belfast,County Antrim,BT2 7GA
Bustaseed Limited,2017-18,"4,900","10,000",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,20160,Manufacturing,2 Prince Edward Drive, , ,Belfast,County Antrim,BT9 5GB
Circular Soccer,2017-18,"1,500","3,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,85600,Education,Pearl Assurance House,2 Donegal Square East, ,Belfast,County Antrim,BT1 5HB
2000 Weeks,2017-18,"19,400","227,000",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,New,EAST ANTRIM,Antrim and Newtownabbey,70229,"Professional, Scientific And Technical Activities",29 Glenview Way, ,Whiteabbey,Newtownabbey,County Antrim,BT37 0TR
Aspire Interior Solutions Ltd,2017-18,"49,200","427,000",Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,Local,New,NORTH DOWN,Ards and North Down,43390,Construction,9 Balloo Place, , ,Bangor,County Down,BT19 7BP
ATC Systems Limited,2017-18,"3,996","13,320",Other,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,27120,Manufacturing,3 Enterprise Way,Mallusk, ,Newtownabbey,County Antrim,BT36 4EW
H.M.C. Global Limited,2017-18,"30,000","250,000",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,70229,"Professional, Scientific And Technical Activities",2nd & 3rd Floor Lesley Suites,2-12 Montgomery Street, ,Belfast,County Antrim,BT1 4NX
DLKPHOTO,2017-18,"9,654","24,585",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,46760,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Unit 6 Somerton Industrial Park,Dargan Crescent, ,Belfast,County Antrim,BT3 9JB
Shropshire Stainless & Aluminium Ltd,2017-18,"31,500","399,400",Creating Jobs / Capital Investment / Business Development,7,Great Britain,External,New,UPPER BANN,"Armagh City, Banbridge and Craigavon",24420,Manufacturing,39-40 Annesborough Industrial Estate,Annesborough Road, ,Lurgan,County Armagh,BT67 9JD
Madlug C.I.C.,2017-18,"9,000","72,000",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,New,UPPER BANN,"Armagh City, Banbridge and Craigavon",47722,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,10 Glenview Drive,Lurgan, ,Craigavon,County Armagh,BT66 7ES
Micro Computer Solutions Limited,2017-18,"19,900","159,810",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,New,UPPER BANN,"Armagh City, Banbridge and Craigavon",62010,Information And Communication,25 Carn Road, , ,Portadown,County Armagh,BT63 5WG
Glenturas Construction Limited,2017-18,"9,917","19,834",Developing Skills,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,43290,Construction,Unit 28 Enterprise Hub,North West Business Complex,Skeoge Industrial Estate,Derry,County Londonderry,BT48 8SE
GCD Technologies Ltd,2017-18,"2,625","5,250",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",62020,Information And Communication,259 Lough Road, , ,Lurgan,County Armagh,BT66 6NQ
Moment Health App,2017-18,"30,003","83,505",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62012,Information And Communication,41 Malone Hill Park, , ,Belfast,County Antrim,BT9 6RE
V Boden,2017-18,"5,200","10,400",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",25990,Manufacturing,"Unit 5D, Milltown Industrial Estate",Greenan Road,Warrenpoint,Newry,County Down,BT34 3FN
AuditComply,2017-18,415,830,Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62012,Information And Communication,"Suite 5,","Alexander House,","17A,Ormeau Ave,","Belfast,",County Antrim,BT2 8HD
Pill Pack + Ltd,2017-18,"1,450","2,900",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,86900,Human Health And Social Work Activities,Unit 9,20 Antrim Road, ,Ballymena,County Antrim,BT42 2BJ
Marapco Limited,2017-18,"22,075","88,300",Creating Jobs / Capital Investment / Business Development,2,Lebanon,External,Existing,EAST ANTRIM,Mid and East Antrim,70229,"Professional, Scientific And Technical Activities",8 Meadowbank Road, , ,Carrickfergus,County Antrim,BT38 8YF
Axon Power & Control Ltd,2017-18,"14,700","30,000",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,27120,Manufacturing,347  Pomeroy Road, , ,Dungannon,County Tyrone,BT70 3DT
Hillstown Farm Brewing Company,2017-18,528,"1,055",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,11050,Manufacturing,128 Glebe Road, , ,Randalstown,County Antrim,BT41 3DT
Slice,2017-18,"400,000","4,430,000",Creating Jobs / Capital Investment / Business Development,50,United States of America,External,New,BELFAST SOUTH,Belfast,62011,Information And Communication,Scottish Provident Buildings,7 Donegall Square West,,Belfast,County Antrim,BT1 6JH
Bellamoon Limited,2017-18,"4,855","9,710",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,STRANGFORD,"Newry, Mourne and Down",13990,Manufacturing,41 Ballynahinch Road,Saintfield, ,Ballynahinch,County Down,BT24 7ND
Invitrocue,2017-18,"45,446","126,250",Investing in R&D                    ,0,Singapore,External,Existing,X Outside NI,X Outside NI,72110,"Professional, Scientific And Technical Activities",11 Biopolis Way,Helios #12-07/08, ,Singapore, ,138667
Biopanda Reagents,2017-18,"2,250","4,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST EAST,Lisburn and Castlereagh,32500,Manufacturing,Unit 14 Carrowreagh Business Park,Carrowreagh Road, ,Dundonald,County Down,BT16 1QQ
Green Circle,2017-18,"33,922","106,007",Investing in R&D                    ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",71122,"Professional, Scientific And Technical Activities",CIDO Business Complex,Carn Industrial Park,Portadown,Craigavon,County Armagh,BT63 5RH
